temp_mean,salt_mean,DIN_mean,FineSed_mean,SG_N_mean,SGH_N_mean
27.060652,35.417625,0.064711146,0.00012460673,0.28861758,0.1274956
26.676142,35.43517,0.0668217,0.00013111548,0.28913435,0.12634951
26.900492,35.450012,0.068181105,0.00013126002,0.29029205,0.1257873
27.201996,35.484123,0.069616884,0.00013296942,0.29124534,0.12501867
27.279173,35.529,0.06941108,0.00013335401,0.29111686,0.12396775
27.664724,35.573162,0.068488404,0.00013121542,0.2914844,0.122685626
27.90877,35.626884,0.06828187,0.00014515169,0.29080978,0.12120534
28.187075,35.67434,0.06079483,0.00017041549,0.29118717,0.11989644
28.05382,35.74437,0.059387345,0.0003550741,0.29068944,0.11809289
28.05666,35.796364,0.055740397,0.00022858244,0.2909176,0.11670007
28.3644,35.813564,0.059319105,0.00034881165,0.2897164,0.11512214
28.401915,35.835556,0.053569894,0.00020329375,0.28969225,0.1139502
27.900726,35.866714,0.050778475,0.00014417697,0.2896858,0.11286846
27.956673,35.880325,0.052140146,0.00012416928,0.28987232,0.11185013
27.591724,35.84089,0.056971867,0.00012162968,0.28872028,0.11125657
27.213772,35.807182,0.058848795,0.00012101159,0.28844574,0.11131703
26.98347,35.65121,0.06807521,0.000119232966,0.28866595,0.11177482
27.499878,35.586834,0.07005735,0.00012795375,0.29059386,0.11251666
27.857334,35.591415,0.060793288,0.00012900453,0.2933275,0.1126146
27.91085,35.487427,0.07234246,0.00018051043,0.29400903,0.11201469
27.73496,35.451103,0.078726724,0.00019628635,0.29507712,0.11208216
27.693823,35.448982,0.1053184,0.00025386483,0.29445493,0.111660756
27.386824,35.458096,0.09948208,0.00026671807,0.2942944,0.112643674
27.286797,35.365578,0.158706,0.00026559347,0.29216465,0.11408482
27.261139,35.04138,0.26858425,0.00037992027,0.28891218,0.11540644
27.24173,34.30703,0.7613108,0.0003516722,0.28535554,0.11335495
27.291323,33.107063,2.0071888,0.00048747426,0.28107873,0.11052071
26.98866,31.364239,4.2700334,0.0006124124,0.2762853,0.10734515
26.757011,29.69661,7.668435,0.0005378674,0.27166495,0.10353139
26.716728,28.109701,11.130729,0.00048351864,0.2688976,0.09956456
27.166504,26.942783,14.7677965,0.0003266848,0.2671759,0.09630939
27.952883,26.680033,16.668285,0.00024139998,0.26598135,0.09386588
28.051367,27.45682,16.53238,0.00031320564,0.2640045,0.09251423
28.366838,28.210577,16.003422,0.00026396444,0.2618632,0.09120507
28.640913,29.207306,14.810583,0.00021394549,0.25994343,0.09048509
28.860815,30.042025,13.037601,0.0001864346,0.2584542,0.09222357
29.158735,30.868307,10.576276,0.00019389336,0.25694838,0.09510435
29.392984,31.569798,7.858313,0.00022466063,0.25422937,0.09803547
29.53057,32.027653,6.4858403,0.00022319783,0.2516472,0.1019309
29.568205,32.356373,4.952899,0.00034025518,0.25011116,0.110496596
29.293919,32.55746,3.679513,0.0002604868,0.24876891,0.11755793
29.361217,32.74653,2.9725122,0.00016582226,0.24792567,0.123374194
29.702291,32.853012,2.3242378,0.0001437559,0.24795663,0.12927155
29.576544,32.890347,1.9567969,0.0001423372,0.24569227,0.1319099
29.728733,32.660244,1.8390498,0.00014170818,0.2448356,0.13524532
29.459177,32.18178,1.4972273,0.00014485215,0.24522646,0.13950658
29.07504,31.825544,1.6054853,0.00015977643,0.24403526,0.1414304
28.731125,31.829636,1.6251928,0.00016407344,0.24336472,0.14328712
28.551693,32.089035,1.7109729,0.00016306646,0.24144262,0.14432235
28.833393,32.451927,1.4626963,0.0001768165,0.24139722,0.14716053
29.21814,32.802635,0.79604656,0.00020709042,0.2417355,0.15310186
29.373611,33.19333,0.4462013,0.00021326185,0.24079765,0.15776257
29.48061,33.245483,0.51895994,0.00017312265,0.23761322,0.15655288
29.059788,33.042484,0.7687735,0.0002210996,0.23310576,0.15236612
28.153559,32.795315,1.4820147,0.00022336806,0.22813581,0.14490081
27.896572,32.47761,2.3288999,0.00032937352,0.22725114,0.14160386
27.580881,31.529064,4.2743735,0.00053124333,0.22498097,0.13662021
27.06052,29.4023,6.2296734,0.00047730614,0.22306201,0.13216862
27.19833,27.105991,8.1250925,0.0004578907,0.22522543,0.12946437
27.524048,25.83721,11.382516,0.00032275982,0.22532408,0.12566832
27.935965,25.749449,14.19665,0.00022630027,0.2244599,0.121111035
28.415989,26.118889,15.793371,0.00016785706,0.22406657,0.11819904
28.204659,27.339529,15.459549,0.00025259153,0.22370733,0.117227755
27.998434,28.258196,16.404013,0.00025857377,0.22073795,0.111094475
28.126125,28.732962,16.496468,0.00047740588,0.21830924,0.10518401
27.38911,26.06186,18.582836,0.0005220512,0.21722953,0.09978264
27.088776,25.194042,19.538694,0.00089218176,0.21912588,0.09570321
26.714428,24.7604,19.982845,0.0008999077,0.21758437,0.091143556
26.88769,25.45711,20.875704,0.00070912135,0.21717055,0.0865319
27.223814,26.949944,20.469925,0.0005744397,0.22179507,0.08330387
27.257551,27.822664,21.423191,0.0003761775,0.2232525,0.08041559
27.212595,28.198038,22.414404,0.00029121494,0.2278185,0.079702936
26.926271,28.290709,23.843647,0.00023870659,0.22963159,0.07941392
26.718039,28.243378,26.794743,0.0002018646,0.227263,0.07687084
26.573467,28.105244,29.258783,0.0001739487,0.22517988,0.075465865
26.885818,27.849352,29.184431,0.00017289574,0.22841884,0.07706638
27.11211,28.057861,29.62289,0.00017614661,0.23126397,0.07916742
26.938213,28.198383,30.75857,0.0004000013,0.2291527,0.079061195
