temp_mean,salt_mean,DIN_mean,FineSed_mean,SG_N_mean,SGH_N_mean
30.23534,36.35581,0.06230257,5.1428553e-05,0.17767468,0.08632697
30.21542,36.356743,0.056099948,9.2048904e-05,0.17692152,0.0848337
30.26531,36.350037,0.052126713,9.825603e-05,0.17662162,0.083421186
30.089895,36.348984,0.052349053,7.022029e-05,0.17538543,0.08196426
30.098845,36.3439,0.049487066,2.083154e-05,0.17517929,0.081381835
30.283325,36.34699,0.054549914,1.3052383e-05,0.17357765,0.08072427
30.36487,36.32173,0.07970738,4.0281234e-06,0.17282815,0.081538565
29.645742,36.307346,0.05372184,3.505561e-05,0.17067325,0.08173179
28.728144,36.37631,0.07545806,7.065997e-05,0.16489504,0.07988933
28.295,36.402496,0.086551085,2.2467422e-05,0.16087891,0.07816305
28.175312,36.419678,0.05765765,1.6504e-05,0.16153218,0.07919923
28.657564,36.429043,0.05062417,8.9938e-06,0.1657766,0.081880055
28.300478,36.431778,0.04588904,2.3425373e-05,0.16743967,0.08291006
28.142044,36.44128,0.0512874,2.6714097e-05,0.16844545,0.083010785
27.92436,36.445923,0.0559725,4.7222926e-05,0.16826855,0.082871646
27.954775,36.443935,0.060756627,5.443989e-05,0.16971308,0.08306765
27.6813,36.427002,0.064051084,5.5992477e-05,0.16971199,0.08269508
27.95783,36.43291,0.048789814,4.38794e-05,0.1718418,0.083417356
28.304459,36.43168,0.044083543,3.0891693e-05,0.17297581,0.08412495
28.60023,36.43059,0.05012669,1.7466957e-05,0.17266878,0.0846854
28.892534,36.430008,0.055135816,5.5692294e-06,0.17335539,0.08551326
29.385927,36.426014,0.0630781,2.6001426e-06,0.17452464,0.085921764
29.324745,36.432213,0.057481352,3.0473132e-06,0.17415392,0.0859152
29.54884,36.45262,0.070204034,2.731199e-06,0.17387725,0.08575528
29.74328,36.447594,0.093908764,1.7916853e-06,0.1728083,0.08561839
29.045605,36.461555,0.06627328,3.8574468e-05,0.17091079,0.08394804
27.97556,36.530575,0.1369668,7.852636e-05,0.16496806,0.079690784
27.531818,36.555935,0.25359455,0.0001229008,0.15839215,0.075440586
27.235703,36.558365,0.27099612,0.00015333631,0.15384147,0.071926504
26.620564,36.562023,0.3379083,0.0004292773,0.14916967,0.06644359
26.064203,36.336697,0.8941605,0.0006533698,0.13831519,0.058019467
25.831308,35.73874,1.7798843,0.00061628385,0.12998231,0.052863494
25.594849,35.782867,2.7747006,0.0005042086,0.12351805,0.049275983
25.816109,35.818226,2.6678936,0.00014193321,0.12038864,0.04788322
26.195948,35.850998,1.105603,2.750518e-05,0.13200419,0.050897766
26.407953,35.87878,0.43298888,1.3538546e-05,0.14141521,0.056371115
26.4068,35.905323,0.40281007,7.5541916e-06,0.14658459,0.06301335
26.255064,35.92071,0.7266687,1.3157286e-05,0.14921592,0.068387754
26.150742,35.93202,0.8549255,3.620766e-05,0.15244,0.07405145
26.157173,35.248505,1.4107019,4.716379e-05,0.15284614,0.07777783
26.28862,35.37322,1.55361,4.3018175e-05,0.15451601,0.08163952
26.501877,35.362118,1.2409476,2.1821754e-05,0.1571731,0.08551723
26.87273,35.32998,1.0324676,2.5069032e-05,0.16141808,0.090081066
27.131542,35.301937,0.73290396,3.1094147e-05,0.1648616,0.0935216
27.458958,35.274216,0.42222935,3.5951136e-05,0.1669682,0.09682688
27.489792,35.24583,0.5004724,3.720616e-05,0.1670876,0.098709926
27.95352,35.17379,0.59865034,4.414602e-05,0.17011543,0.10252714
28.361696,35.09791,0.60842925,2.8671737e-05,0.17264412,0.10482716
28.24606,34.97675,0.5953156,2.6475504e-05,0.17193083,0.10497924
28.099634,34.99872,0.50399804,1.2691433e-05,0.16877204,0.105598815
28.143974,35.04255,0.31757444,5.3956464e-06,0.16664036,0.10709238
28.59253,35.10216,0.12950832,2.8837053e-06,0.16843416,0.11194927
28.930122,35.15722,0.09088765,3.0986366e-06,0.1692684,0.114128925
28.357183,35.2021,0.10101294,5.070906e-06,0.16884838,0.114142835
28.228928,35.23123,0.11353571,1.0703504e-05,0.17052412,0.114509776
28.113028,35.225437,0.15313469,1.4812839e-05,0.17162623,0.114124835
28.243862,35.191395,0.26825568,2.2046004e-05,0.17198905,0.11183221
28.30932,35.180992,0.48459423,4.3365126e-05,0.17187631,0.109710075
28.17729,35.183685,1.1632257,0.000104038154,0.1721315,0.10720479
28.023018,35.20367,1.6521196,0.00019868015,0.17357391,0.10398136
27.99276,35.242138,1.8069894,0.0001934031,0.17396279,0.10064053
27.821543,35.30004,1.5655336,0.00019541118,0.17273062,0.097528905
27.47374,35.384983,1.1462586,0.0001400069,0.17290978,0.095389515
27.32729,35.46864,0.81764036,3.538597e-05,0.17257409,0.094209254
27.180307,35.531437,0.4407298,1.8531879e-05,0.17466491,0.095834106
26.999971,35.58106,0.15624277,2.178537e-05,0.1754478,0.098640405
26.793877,35.631447,0.113472946,2.1692156e-05,0.17605156,0.10010341
26.333889,35.639954,0.1507877,2.0571852e-05,0.17312041,0.10094863
26.044561,35.54312,0.18482143,2.1143616e-05,0.17066954,0.10181698
26.034615,35.543533,0.14501886,1.8090273e-05,0.17102918,0.102233656
26.275137,35.569603,0.10103339,1.2571026e-05,0.17424107,0.10339704
26.462671,35.58554,0.09923999,1.4288767e-05,0.17660902,0.10483243
26.69132,35.601173,0.09595403,2.4390774e-05,0.17832455,0.10491933
