temp_mean,salt_mean,DIN_mean,FineSed_mean,SG_N_mean,SGH_N_mean
29.72818,35.90761,0.053779863,4.0624153e-07,0.031204782,0.08798544
30.022104,35.88169,0.048957434,3.2675848e-07,0.031619962,0.0885417
30.292782,35.889874,0.051598735,1.825889e-07,0.031942397,0.08858863
29.942596,35.860115,0.04203618,3.145689e-07,0.03204365,0.08825445
29.69653,35.828148,0.044389367,3.8287837e-07,0.032177854,0.0878842
29.624935,35.814842,0.053157836,3.083309e-07,0.032211512,0.087368354
29.478838,35.800346,0.055768717,4.1141303e-07,0.032094516,0.086759515
29.431677,35.799675,0.06395351,3.2378907e-07,0.031865075,0.086387314
29.90169,35.795258,0.07192061,1.12536696e-07,0.031943955,0.086774915
29.88598,35.78771,0.045337602,2.018734e-06,0.0322335,0.08688661
30.253971,35.784973,0.043713085,2.1179594e-06,0.03243572,0.0866611
30.266167,35.768997,0.042272765,1.2179813e-06,0.032609764,0.08640691
30.366344,35.758526,0.036766935,1.8182179e-06,0.0327816,0.08617277
30.499374,35.761505,0.03888561,3.1186294e-06,0.032927465,0.08590126
30.37577,35.777004,0.04529674,5.7815805e-07,0.032835722,0.08536412
30.155169,35.761585,0.046311274,5.6867947e-07,0.032791264,0.08502321
30.228596,35.737232,0.052638948,5.9118753e-07,0.03242081,0.084735855
30.649801,35.74603,0.06462448,2.6070288e-07,0.032722723,0.084736735
30.483154,35.75995,0.054765016,3.221805e-07,0.032410666,0.08419556
30.119703,35.733658,0.051349673,5.167103e-07,0.03228143,0.08375797
29.623991,35.703438,0.062951915,4.5209097e-07,0.03154668,0.08315551
29.288685,35.557476,0.17290112,1.0362653e-05,0.030542938,0.078333676
29.026356,35.03967,0.44158828,3.9014234e-05,0.028743697,0.072794065
28.870554,34.36505,0.5546494,0.0001069381,0.026189446,0.06624123
29.006723,34.568115,1.0676055,0.00010541101,0.024546018,0.06172183
29.42139,34.6419,0.08399531,1.8008548e-05,0.024257379,0.06316745
29.89309,34.64698,0.038407773,7.212189e-06,0.025405029,0.066922836
30.455507,34.658264,0.042953335,3.8945764e-06,0.026862636,0.07118404
30.74852,34.685093,0.0695359,4.114254e-06,0.02771842,0.074317046
31.123089,34.715797,0.071228705,2.0680216e-06,0.02865461,0.07740087
30.99173,34.76172,0.098553434,2.568716e-06,0.029149367,0.07963556
30.78925,34.786316,0.11194248,2.0500333e-06,0.029184906,0.08168702
31.222305,34.80251,0.11051479,1.6602087e-06,0.029746642,0.08399416
31.33685,34.826946,0.096611015,1.9761303e-06,0.030121757,0.085671276
31.302553,34.87138,0.10214455,7.145115e-07,0.03053929,0.08664226
31.065859,34.89242,0.08632169,6.9290553e-07,0.030869542,0.087225184
30.873365,34.856678,0.07692882,4.6175796e-07,0.031104892,0.0876309
30.640259,34.73781,0.071031936,3.9566712e-07,0.03129425,0.08795908
30.329708,34.600246,0.06751479,6.1846134e-07,0.031314146,0.0882941
30.340729,34.501118,0.07070111,2.0111818e-06,0.031450186,0.08874376
30.290855,34.463886,0.07236598,1.3308993e-06,0.03126961,0.089212544
30.550608,34.457623,0.0611089,2.0178875e-06,0.03165018,0.08998658
30.45557,34.44031,0.06472409,5.7634213e-07,0.03158603,0.09050355
30.444437,34.447342,0.067643195,5.138323e-07,0.03189077,0.09102051
30.016932,34.426785,0.06291427,9.156593e-07,0.031847157,0.09122456
29.888746,34.36663,0.06725772,7.9271575e-07,0.03166665,0.09136535
29.776245,34.273514,0.08079405,3.6992998e-07,0.0314609,0.091155805
29.603146,34.20671,0.075530946,7.4426697e-07,0.03127557,0.09158217
29.387394,34.126823,0.07987456,1.6057948e-06,0.030042492,0.09099807
29.920935,34.105774,0.11207166,5.830593e-07,0.02857216,0.09093392
30.609077,34.11607,0.08832827,1.8519931e-07,0.028800353,0.09217946
30.927574,34.09377,0.08267759,1.2274165e-07,0.029125867,0.09277377
30.988367,34.125328,0.08445161,2.2062223e-07,0.028836247,0.09175742
30.764915,34.145096,0.094489746,3.6079476e-07,0.028005315,0.09071667
31.13226,34.141994,0.08699202,1.59172e-07,0.027318,0.09084088
31.137138,34.187054,0.06800925,1.8315582e-07,0.02778187,0.09166952
31.264128,34.213577,0.054355443,2.884346e-07,0.028591165,0.09251624
31.374014,34.221054,0.05782336,1.0374329e-06,0.029110316,0.09250641
31.01638,34.203514,0.06273003,7.2413525e-07,0.029404704,0.09181265
31.127268,34.201874,0.065840095,7.1753243e-07,0.029215498,0.091411985
30.997915,34.198296,0.07603494,2.508971e-06,0.028768243,0.091054246
30.896955,34.120113,0.07937466,6.278766e-06,0.027584476,0.08960148
30.996008,34.113247,0.08664569,6.158844e-06,0.026063697,0.08830724
30.940191,34.097538,0.09190125,2.3188186e-06,0.02477872,0.087677866
30.898155,34.10341,0.08523781,1.3339153e-06,0.024124494,0.08611642
30.514042,34.118908,0.07120425,1.128974e-06,0.02371574,0.08493122
30.155708,34.132828,0.0640447,1.1229739e-06,0.023406994,0.0836824
29.94069,34.145084,0.0740786,9.748811e-07,0.023556544,0.08188386
29.831203,34.1536,0.08093456,9.011215e-07,0.023790147,0.08013778
29.729897,34.1652,0.085560076,1.730611e-06,0.024032526,0.07874209
29.543114,34.176582,0.09573063,2.734599e-06,0.024206216,0.07738062
29.215513,34.179886,0.10293613,9.804327e-07,0.024366397,0.07708918
29.267244,34.177555,0.10646384,4.4919412e-07,0.024857806,0.07759745
29.299028,34.177578,0.09858707,4.0804449e-07,0.025173353,0.07845189
29.485807,34.18657,0.10897949,3.1554376e-07,0.025486909,0.07912344
29.77243,34.187004,0.11662879,1.0200713e-07,0.025797257,0.08005818
