temp_mean,salt_mean,DIN_mean,FineSed_mean,SG_N_mean,SGH_N_mean
29.35818,36.49933,0.08408661,0.00066743314,0.33571497,0.14741336
29.432058,36.52638,0.06727046,0.0006237336,0.3349796,0.14602491
29.247002,36.552837,0.06138924,0.0006975799,0.33350357,0.14448634
28.92848,36.583054,0.12494815,0.0010234615,0.32706612,0.14121154
29.023998,36.55799,0.114203736,0.00038552497,0.32760158,0.14091378
29.062395,36.558914,0.07157767,0.00023170315,0.32788983,0.14048406
29.075195,36.54959,0.06860118,0.00018253693,0.32813397,0.13967802
28.38807,36.57489,0.22249271,0.014101844,0.32128206,0.13243225
27.791412,36.63876,0.6282918,0.0072241034,0.312472,0.123857096
27.442266,36.642544,0.6292092,0.0011198741,0.30951378,0.12460009
27.679005,36.647846,0.23759456,0.00035295574,0.31862953,0.13237514
27.869123,36.653465,0.06521154,0.00023524834,0.3270793,0.13708273
27.739014,36.687252,0.07149589,0.00032188348,0.32969564,0.13800903
27.657671,36.70621,0.08867463,0.0005793065,0.3315587,0.13822654
27.653603,36.69949,0.10757551,0.0015938485,0.33317158,0.13758819
27.534924,36.65191,0.22449397,0.0020468435,0.3307841,0.1354087
27.711279,36.64789,0.13381472,0.0019065035,0.33296174,0.13511983
27.635984,36.645767,0.10582407,0.001656095,0.3333803,0.1338265
27.81795,36.641323,0.070888735,0.00092333736,0.3340883,0.13480423
28.128841,36.631454,0.06995547,0.0010952796,0.3350579,0.13507764
28.25796,36.634594,0.06047403,0.00027227218,0.3367652,0.13576713
28.375092,36.64512,0.047221884,0.00020667346,0.33861592,0.13520814
28.848166,36.63785,0.054866,0.00017386778,0.33873641,0.13426691
28.792553,36.637856,0.07495667,0.00016637299,0.33690187,0.1332244
29.179558,36.62899,0.06971529,0.00016290019,0.33758265,0.13282165
27.945976,36.661945,0.18981622,0.023174405,0.32815948,0.12580813
27.295464,36.717194,0.72303873,0.0146774715,0.31519365,0.1168745
26.996956,36.72561,1.066264,0.011089054,0.30524114,0.109594
26.887766,36.700687,1.3304538,0.006836676,0.2945755,0.10283896
26.432308,36.68373,1.6184148,0.008322797,0.2842211,0.096579045
26.013205,36.65895,1.9464747,0.009498457,0.27383992,0.09086377
25.897665,36.564533,2.3441892,0.0059575904,0.2667479,0.08638181
25.74626,36.560318,2.895666,0.0032947802,0.26216987,0.083321564
25.93881,36.545357,3.182597,0.0016362906,0.2673076,0.08786007
26.17997,36.54568,3.0583086,0.000896697,0.27956027,0.09610256
26.335482,36.571087,2.8835487,0.0013894929,0.29734653,0.105780125
26.041164,36.547195,3.0639448,0.0016435303,0.30655256,0.112307064
25.801579,36.581295,3.527591,0.00042667112,0.30828866,0.11822567
26.000063,36.593006,2.3047018,0.00023586742,0.32479605,0.12839518
26.038004,36.41738,1.3760855,0.00037709557,0.3261582,0.13254651
26.172474,36.41449,0.95372266,0.00020841126,0.33023116,0.13846527
26.381866,36.432068,0.31710124,0.0002245925,0.33995426,0.1435741
26.353823,36.429253,0.20114504,0.00023157394,0.34104866,0.14551224
26.63873,36.42157,0.12170353,0.00024460137,0.34776148,0.14844154
27.0179,36.406277,0.11077271,0.00030144164,0.35089195,0.14849693
26.617239,36.402878,0.1506214,0.00039176847,0.34622383,0.14638622
26.806032,36.384823,0.16481182,0.00057685986,0.34692165,0.14909682
27.101357,36.354225,0.06923699,0.00038273513,0.3537436,0.15125537
27.547596,36.29921,0.05696329,0.00029009406,0.35595062,0.15081085
27.640656,36.298107,0.09800206,0.00027199872,0.35175568,0.1482012
27.724796,36.301006,0.08739638,0.00029191535,0.35431954,0.14984547
28.02904,36.30319,0.07638884,0.00017668233,0.35399824,0.14865051
28.123842,36.298355,0.076487295,0.00045234238,0.35462415,0.1476842
27.6055,36.366,0.21476513,0.00668621,0.34791234,0.14215572
27.38731,36.40454,0.4002876,0.0017213684,0.3495381,0.14100496
27.382452,36.418583,0.08820725,0.0005792277,0.3559495,0.142539
27.64178,36.412483,0.08394473,0.0004899621,0.35706812,0.14132097
27.556723,36.411907,0.12674853,0.0006911684,0.35493726,0.1389625
27.367096,36.414707,0.14309587,0.0014415415,0.35093445,0.13518411
27.090977,36.419033,0.17123657,0.0016469772,0.34793475,0.13172276
27.12468,36.419266,0.10025978,0.0014405937,0.3519898,0.1335299
27.116148,36.414154,0.07351368,0.0017033783,0.35402536,0.13354442
26.972738,36.435734,0.14395367,0.004268902,0.34823963,0.12839432
26.770302,36.411835,0.30949718,0.0008643222,0.33973485,0.12537014
26.427246,36.424385,0.27941567,0.00024176405,0.33882895,0.12924223
26.21603,36.430435,0.20160359,0.00022911001,0.34233326,0.1342199
