temp_mean,salt_mean,DIN_mean,FineSed_mean,SG_N_mean,SGH_N_mean
28.11808,36.370502,0.08438091,1.0015236e-05,0.16710724,0.13741389
28.037144,36.392147,0.08644785,1.0982545e-05,0.16836418,0.13761202
28.023779,36.409843,0.091760434,7.407995e-06,0.16944852,0.1373575
28.212042,36.41499,0.096530326,7.10708e-06,0.17017025,0.13667412
28.69839,36.397305,0.10028593,6.235063e-06,0.17093119,0.1359797
28.918041,36.38375,0.08992622,9.896749e-06,0.17163193,0.13468093
28.86684,36.366478,0.09031732,2.3917313e-05,0.171006,0.13108644
29.059372,36.344215,0.083630696,3.7721602e-05,0.1723084,0.1295891
29.100523,36.317413,0.07386782,4.7006182e-05,0.17266728,0.12833303
29.34668,36.292423,0.06950266,6.94136e-05,0.17340577,0.12665762
29.390919,36.276764,0.07131055,6.762573e-05,0.17255883,0.12447276
29.605375,36.254257,0.06846409,7.0150774e-05,0.17263496,0.123060554
29.216717,36.30394,0.062176086,2.3091294e-05,0.17309389,0.12135239
28.68313,36.351406,0.066257484,3.19103e-05,0.17172235,0.12072536
28.143965,36.294945,0.08221163,3.260548e-05,0.1678198,0.12076769
27.754786,36.290394,0.08649268,5.6716035e-05,0.1645352,0.12003099
27.382479,36.311348,0.101785354,4.9210583e-05,0.16231959,0.11831157
27.85302,36.283173,0.14335495,1.071678e-05,0.16187163,0.11869031
28.643715,36.25176,0.07997244,1.5495943e-05,0.16406742,0.12137393
28.60913,36.222897,0.09568106,2.8576302e-05,0.16422243,0.11915642
28.78289,36.210102,0.09266731,4.443676e-05,0.16666871,0.118502654
28.418055,36.199642,0.09974308,7.325112e-05,0.16626392,0.117866285
28.134344,36.187317,0.15369181,9.685114e-05,0.1647854,0.115996934
27.87622,36.075806,0.21512711,0.00035358415,0.16155666,0.11221266
27.834322,35.61294,1.2258056,0.0006213463,0.16020168,0.11034062
28.086128,35.56125,1.1271434,0.0003220983,0.1596088,0.10965599
28.20597,35.453243,1.2544572,0.00026436016,0.15916349,0.10973343
27.913948,35.19507,2.521708,0.0005305857,0.15629277,0.11105737
27.721508,34.94446,4.6749444,0.0006046413,0.15287015,0.11295147
27.745943,34.143024,6.1189647,0.00046089827,0.14993557,0.11450205
28.35099,33.741383,8.514228,0.00017872539,0.1486804,0.11632193
28.774769,33.84473,8.35212,8.19686e-05,0.14889276,0.117168054
28.751307,33.92273,8.9828,6.102594e-05,0.14970757,0.11777912
28.651464,34.01819,9.307604,4.8501322e-05,0.15086228,0.11781819
28.802612,34.040337,12.611931,3.4826146e-05,0.15156204,0.11810959
29.138556,34.012264,11.1699,2.8749182e-05,0.15408967,0.11740481
29.507856,33.81407,9.297334,4.050648e-05,0.15683609,0.116134666
29.340244,33.782814,7.1714287,9.901142e-05,0.15644664,0.11436289
29.604614,33.68672,6.425383,0.00012988222,0.15699852,0.11128776
29.742538,33.602142,4.7448344,0.00012918374,0.16128613,0.10994011
29.816425,33.5741,3.766596,0.00012682233,0.16295494,0.108553916
29.761621,33.61007,3.2096565,7.77991e-05,0.16256276,0.10832303
30.107544,33.68557,2.7868547,2.7191667e-05,0.16270477,0.108320944
