temp_mean,salt_mean,DIN_mean,FineSed_mean,SG_N_mean,SGH_N_mean
29.616255,35.414375,2.7247622,0.00016299087,0.031334545,0.26605508
29.951855,35.42133,2.258644,0.00013984674,0.031745106,0.27181077
30.338692,35.419933,1.9912905,0.00010404196,0.031793687,0.27323592
30.172396,35.46533,1.8703908,0.00032767514,0.031929914,0.27007163
30.018435,35.51494,2.3664415,0.0009326906,0.031965427,0.25641155
29.9206,35.559025,2.240166,0.0007435087,0.031953488,0.24770229
29.77526,35.611607,2.3210645,0.011252331,0.031659286,0.23256508
29.417126,35.62956,3.1736298,0.0019121678,0.031378094,0.21313344
30.01888,35.58159,1.8668307,0.00015764231,0.03170251,0.2208867
30.159916,35.55172,0.80342644,0.00033855645,0.031836007,0.22686592
30.355959,35.52015,0.6650552,0.0012883139,0.031952508,0.22349535
30.3886,35.509533,1.0811068,0.005191522,0.03192231,0.21844488
30.391632,35.5044,1.692205,0.0033721726,0.03191516,0.2043052
30.424583,35.492146,1.2151741,0.00063812255,0.032239612,0.21335348
30.154533,35.480206,1.2205255,0.0002715363,0.03230544,0.22033492
30.007423,35.452507,1.5781759,0.00023907355,0.03211793,0.22094187
30.449505,35.386097,1.8286914,0.00015856838,0.032282613,0.22647879
30.849344,35.380993,2.151156,0.00012265275,0.03242051,0.22984599
30.96362,35.376896,2.5157926,0.00013838458,0.03231825,0.23005098
30.727905,35.400845,2.3723547,0.00032586,0.032239657,0.22713691
29.928541,35.437412,2.852894,0.028997598,0.03155007,0.20973341
29.35333,35.36601,5.4811673,0.03468389,0.029429395,0.18694408
29.08568,35.046776,9.062773,0.006858975,0.027605882,0.16742982
28.799452,33.318615,23.203777,0.018206714,0.0139986,0.14203285
28.420094,27.161787,34.39479,0.009598015,0.0057837185,0.119300455
28.397776,23.878862,34.589703,0.012425026,0.005446387,0.10993045
28.940739,25.180555,36.807716,0.012056129,0.0051330645,0.10545894
29.632427,25.49227,47.80145,0.014225738,0.004831255,0.09941484
30.118975,26.13218,57.481483,0.014889673,0.0045412164,0.095270365
30.643929,25.426012,59.69782,0.010020435,0.004265952,0.08857485
30.807037,24.554615,58.02002,0.0063971374,0.0040050093,0.08069914
30.629587,23.468292,58.895626,0.004101215,0.0037609898,0.07272423
31.000755,22.141428,83.59183,0.0025670605,0.0035372851,0.065541975
31.009817,24.789335,79.5195,0.0016080962,0.0033303548,0.05922785
