temp_mean,salt_mean,DIN_mean,FineSed_mean,SG_N_mean,SGH_N_mean
27.060652,35.417625,0.18763012,0.00016486793,0.3196448,0.26607597
26.676142,35.43517,0.18478844,0.00016957588,0.31867516,0.26232898
26.900492,35.450012,0.16941191,0.0001662035,0.31822342,0.2596257
27.201996,35.484123,0.20556995,0.00016554748,0.31762025,0.25600943
27.279173,35.529,0.1959317,0.00016365031,0.316055,0.25086904
27.664724,35.573162,0.12538469,0.00015931581,0.31544462,0.24732359
27.90877,35.626884,0.13816895,0.00019005293,0.31312865,0.24137071
28.187075,35.67434,0.09713988,0.00033704672,0.31192172,0.23644647
28.05382,35.74437,0.07796061,0.000675325,0.30963227,0.23139365
28.05666,35.796364,0.06887473,0.00047593555,0.30869117,0.22676653
28.3644,35.813564,0.07642081,0.00071279507,0.30589473,0.22142868
28.401915,35.835556,0.06656152,0.00041620343,0.30493298,0.2170031
27.900726,35.866714,0.059503395,0.00021798925,0.30395314,0.21305497
27.956673,35.880325,0.06490585,0.0001507024,0.3034198,0.2091299
27.591724,35.84089,0.09590801,0.00014298246,0.30123174,0.20554079
27.213772,35.807182,0.11520333,0.00014400914,0.3000364,0.20356227
26.98347,35.65121,0.16735472,0.00014529095,0.2992378,0.20247366
27.499878,35.586834,0.1522379,0.0001597964,0.30049863,0.20283502
27.857334,35.591415,0.17796151,0.00016628204,0.3021077,0.20298482
27.91085,35.487427,0.28350013,0.0002584173,0.30189005,0.20142733
27.73496,35.451103,0.40372992,0.00037229757,0.3010211,0.19999042
27.693823,35.448982,0.5711531,0.0005085814,0.29913336,0.19915219
27.386824,35.458096,0.6636135,0.0005521038,0.29688072,0.1962597
27.286797,35.365578,1.10753,0.00059816457,0.2929326,0.19041473
27.261139,35.04138,1.9952389,0.00096530153,0.2884307,0.18434183
27.24173,34.30703,4.394493,0.0013448768,0.28458247,0.17875813
27.291323,33.107063,10.166268,0.00219716,0.2815698,0.16999575
26.98866,31.364239,21.42316,0.0030175392,0.27726263,0.15970111
26.757011,29.69661,35.111187,0.0031834466,0.27232748,0.14986931
26.716728,28.109701,49.40637,0.0029955304,0.26830333,0.1408677
27.166504,26.942783,64.39242,0.0020664446,0.26819888,0.13276881
27.952883,26.680033,74.76065,0.0015351324,0.27306357,0.12537216
28.051367,27.45682,73.14505,0.0015856451,0.27815083,0.11855509
28.366838,28.210577,70.12522,0.0011634132,0.28216732,0.11241429
28.640913,29.207306,65.64302,0.0008255142,0.28507873,0.106712036
28.860815,30.042025,58.59829,0.0006064871,0.28826985,0.10161138
29.158735,30.868307,49.68661,0.0006190743,0.2895556,0.09694243
29.392984,31.569798,41.435776,0.00079359306,0.28862014,0.09231203
29.53057,32.027653,37.86412,0.00074237766,0.28707954,0.088154525
29.568205,32.356373,36.277744,0.00086387584,0.2854538,0.084787376
29.293919,32.55746,37.12822,0.0007325416,0.28441775,0.08220012
29.361217,32.74653,36.37071,0.0005022468,0.28825346,0.08055906
